rule,question,answer
,"loop through tasks and set priority_level to urgent if task.deadline < 7 else normal, set new_status to high_priority if priority_level is urgent else keep original status, print task.name + : + new_status",{% for task in tasks %}{% set priority_level = '' %}{% if task.deadline < 7 %}{% set priority_level = 'urgent' %}{% else %}{% set priority_level = 'normal' %}{% endif %}{% if priority_level == 'urgent' %}{% set new_status = 'high_priority' %}{% else %}{% set new_status = task.status %}{% endif %}{% print task.name ~ ': ' ~ new_status %}{% endfor %}
,"create a macro named shipping_cost that takes weight and distance parameters, set base_cost to 10, modify base_cost by adding 5 if weight > 10, modify base_cost by adding distance * 0.5, return base_cost","{% macro shipping_cost(weight, distance) %}{% set base_cost = 10 %}{% if weight > 10 %}{% set base_cost = base_cost + 5 %}{% endif %}{% set base_cost = base_cost + (distance * 0.5) %}{{ base_cost }}{% endmacro %}"
,"loop through orders and declare processing_fee, set processing_fee to 25 if order.total > 500 else 15, set final_total to order.total + processing_fee, print Order + order.id + Final: + final_total",{% for order in orders %}{% set processing_fee = 0 %}{% if order.total > 500 %}{% set processing_fee = 25 %}{% else %}{% set processing_fee = 15 %}{% endif %}{% set final_total = order.total + processing_fee %}{% print 'Order ' ~ order.id|string ~ ' Final: ' ~ final_total|string %}{% endfor %}
,"create a macro named validate_email that takes email parameter, set is_valid to true if @ in email else false, print Email validation: + is_valid",{% macro validate_email(email) %}{% set is_valid = false %}{% if '@' in email %}{% set is_valid = true %}{% else %}{% set is_valid = false %}{% endif %}{% print 'Email validation: ' ~ is_valid|string %}{% endmacro %}
,"create a macro named calculate_age that takes birth_year parameter, set current_year to 2024, return current_year minus birth_year",{% macro calculate_age(birth_year) %}{% set current_year = 2024 %}{{ current_year - birth_year }}{% endmacro %}
,"create a macro named format_currency that takes amount and currency parameters, set symbol to $ if currency is USD else €, return symbol + amount","{% macro format_currency(amount, currency) %}{% set symbol = '' %}{% if currency == 'USD' %}{% set symbol = '$' %}{% else %}{% set symbol = '€' %}{% endif %}{{ symbol }}{{ amount }}{% endmacro %}"
,"loop through bookings and set status to confirmed if booking.payment_received else pending, print Booking + booking.id + : + status",{% for booking in bookings %}{% set status = '' %}{% if booking.payment_received %}{% set status = 'confirmed' %}{% else %}{% set status = 'pending' %}{% endif %}{% print 'Booking ' ~ booking.id|string ~ ': ' ~ status %}{% endfor %}
,"loop through files and set size_mb by converting bytes to MB, set category to large if size_mb > 100 else small, render file.name + : + category",{% for file in files %}{% set category = '' %}{% set size_mb = file.size / (1024 * 1024) %}{% if size_mb > 100 %}{% set category = 'large' %}{% else %}{% set category = 'small' %}{% endif %}{{ file.name ~ ': ' ~  category }}{% endfor %}
,"loop through comments and set moderation_status to approved if comment.spam_score < 0.5 else flagged, render comment.id + : + moderation_status",{% for comment in comments %}{% set moderation_status = '' %}{% if comment.spam_score < 0.5 %}{% set moderation_status = 'approved' %}{% else %}{% set moderation_status = 'flagged' %}{% endif %}{{ comment.id }}: {{ moderation_status }}{% endfor %}
,"create a macro named calculate_discount that takes original_price and percentage parameters, set discount_amount to original_price * percentage / 100, return original_price - discount_amount","{% macro calculate_discount(original_price, percentage) %}{% set discount_amount = original_price * percentage / 100 %}{{ original_price - discount_amount }}{% endmacro %}"
,"create a macro named format_address that takes address parameter, set formatted to address with proper capitalization, return formatted address",{% macro format_address(address) %}{{ title(address) }}{% endmacro %}
,"create a macro named validate_age that takes age parameter, set is_adult to true if age >= 18 else false, print Age verification: + is_adult",{% macro validate_age(age) %}{% set is_adult = false %}{% if age >= 18 %}{% set is_adult = true %}{% else %}{% set is_adult = false %}{% endif %}{% print 'Age verification: ' ~ is_adult|string %}{% endmacro %}
,"loop through campaigns and set status to active if campaign.budget > 0 and campaign.end_date > today else inactive, print campaign.name + : + status",{% for campaign in campaigns %}{% set status = '' %}{% if campaign.budget > 0 and campaign.end_date > today %}{% set status = 'active' %}{% else %}{% set status = 'inactive' %}{% endif %}{% print campaign.name ~ ': ' ~ status %}{% endfor %}
,"create a macro named format_percentage that takes decimal parameter, set percentage to decimal * 100, return percentage with % symbol",{% macro format_percentage(decimal) %}{{ (decimal * 100) }}%{% endmacro %}
,"loop through surveys and set completion_status to complete if survey.questions_answered equals survey.total_questions else incomplete, render survey.id + : + completion_status",{% for survey in surveys %}{% set completion_status = '' %}{% if survey.questions_answered == survey.total_questions %}{% set completion_status = 'complete' %}{% else %}{% set completion_status = 'incomplete' %}{% endif %}{{ survey.id }}: {{ completion_status }}{% endfor %}
,"create a macro named calculate_tax that takes amount and rate parameters, set tax_amount to amount * rate, return tax amount","{% macro calculate_tax(amount, rate) %}{{ amount * rate }}{% endmacro %}"
,"create a macro named calculate_shipping that takes weight and zone parameters, set base_rate to 5, add extra charges based on weight and zone, return total shipping cost","{% macro calculate_shipping(weight, zone) %}{% set base_rate = 5 %}{% if weight > 5 %}{% set base_rate = base_rate + 3 %}{% endif %}{% if zone == 'international' %}{% set base_rate = base_rate + 10 %}{% endif %}{{ base_rate }}{% endmacro %}"
,"create a macro named validate_credit_card that takes card_number parameter, set is_valid to true if card_number length is 16 else false, print Card validation: + is_valid",{% macro validate_credit_card(card_number) %}{% set is_valid = false %}{% if length(card_number)== 16 %}{% set is_valid = true %}{% else %}{% set is_valid = false %}{% endif %}Card validation: {{ is_valid|string }}{% endmacro %}
,loop through variable products and print each product in uppercase,{% for prod in products %}{% print upper(prod) %}{% endfor %}
,"Write a template to create a range from variable 'start' to variable 'end' and store in 'sequence', then print 'Range created'","{% set sequence = range(start, end) %}
{% print 'Range created' %}"
,Write a template to create a range from 1 to 5 and store in variable sequence then print the length of sequence,"{% set seq= range(1 , 6) %}{% print length(seq) %}"
,Write a template to apply floor function to variable 'price' and render it,{{ floor(price)}}
,"Write a template to apply floor function to 15.99 and store in variable 'rounded_price', then print it",{% set rounded_price = floor(15.99) %} {% print rounded_price %}
,Write a template to get the length of object variable 'user_data' and render it,{{ length(user_data)  }}
,"create a macro named check_password that takes password parameter, set strength to strong if length > 8 else weak, print Password is + strength",{% macro check_password(password) %}{% set strength = '' %}{% if length(password)> 8 %}{% set strength = 'strong' %}{% else %}{% set strength = 'weak' %}{% endif %}{% print 'Password is ' ~ strength %}{% endmacro %}
,Write a template to calculate the mean of variable 'temperatures' and render it,{{ mean(temperature)}}
